country,city,date,latitude,longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,et0_fao_evapotranspiration
China, Shenzhen,2022-01-01 00:00:00+00:00,22.5415,114.0596,22.0655,12.0655,16.417583,22.559217,9.601063,16.377062,0.0,12.218805,2.5207324
China, Shenzhen,2022-01-02 00:00:00+00:00,22.5415,114.0596,21.8655,13.3655,16.986334,21.509037,11.301391,16.587885,0.0,13.493999,2.723996
China, Shenzhen,2022-01-03 00:00:00+00:00,22.5415,114.0596,22.3155,14.415501,17.22175,22.71952,13.914251,17.497478,0.0,10.308831,2.518255
China, Shenzhen,2022-01-04 00:00:00+00:00,22.5415,114.0596,22.6155,15.915501,18.611334,22.353077,15.462727,18.333288,0.3,15.745627,2.8334067
China, Shenzhen,2022-01-05 00:00:00+00:00,22.5415,114.0596,25.3655,14.915501,19.330082,27.544249,13.256737,20.259867,0.5,15.124284,2.7485223
China, Shenzhen,2022-01-06 00:00:00+00:00,22.5415,114.0596,23.1155,12.4655,18.032167,22.226957,10.144915,17.624224,0.0,17.935081,2.8639228
China, Shenzhen,2022-01-07 00:00:00+00:00,22.5415,114.0596,22.015501,11.165501,16.413416,21.728844,9.033694,15.295997,0.0,13.891522,2.9087844
China, Shenzhen,2022-01-08 00:00:00+00:00,22.5415,114.0596,21.5655,12.5155,16.361334,21.830002,10.820745,16.197338,0.0,10.514218,2.4968946
China, Shenzhen,2022-01-09 00:00:00+00:00,22.5415,114.0596,21.265501,11.3655,15.955082,21.378765,9.456043,14.888064,0.0,12.387348,2.5625234
China, Shenzhen,2022-01-10 00:00:00+00:00,22.5415,114.0596,20.265501,11.0155,16.448832,20.813076,7.916601,15.839986,1.4000001,17.25373,1.6853822
China, Shenzhen,2022-01-11 00:00:00+00:00,22.5415,114.0596,18.015501,10.8155,13.525917,15.7134,7.7457438,10.858032,0.0,19.829433,2.9787896
China, Shenzhen,2022-01-12 00:00:00+00:00,22.5415,114.0596,17.765501,11.5655,15.236333,16.612452,9.113787,14.060794,0.0,12.371645,1.7470506
China, Shenzhen,2022-01-13 00:00:00+00:00,22.5415,114.0596,20.015501,10.8155,15.027999,17.585548,7.709528,12.415929,0.0,15.1884165,2.98448
China, Shenzhen,2022-01-14 00:00:00+00:00,22.5415,114.0596,18.9155,12.415501,16.211334,17.34927,9.412542,15.024094,0.0,21.129885,1.959723
China, Shenzhen,2022-01-15 00:00:00+00:00,22.5415,114.0596,21.4655,14.7155,17.430082,22.075619,14.27376,17.343605,0.0,16.24394,2.500114
China, Shenzhen,2022-01-16 00:00:00+00:00,22.5415,114.0596,22.7155,14.915501,18.2655,23.356771,14.801899,18.322649,0.0,13.849476,2.7725933
China, Shenzhen,2022-01-17 00:00:00+00:00,22.5415,114.0596,22.2155,13.665501,17.484251,22.263395,12.029102,17.091589,0.0,12.72283,1.9275497
China, Shenzhen,2022-01-18 00:00:00+00:00,22.5415,114.0596,19.0655,10.4655,15.138417,19.000347,8.650611,14.18011,0.1,10.883676,1.5075799
China, Shenzhen,2022-01-19 00:00:00+00:00,22.5415,114.0596,21.0655,10.8655,15.327999,20.079548,9.114782,13.97377,0.0,11.988594,2.8693786
China, Shenzhen,2022-01-20 00:00:00+00:00,22.5415,114.0596,21.765501,11.8655,17.125917,21.134996,10.238784,16.55005,0.0,12.7279215,2.9150715
China, Shenzhen,2022-01-21 00:00:00+00:00,22.5415,114.0596,21.4155,15.415501,17.7405,20.989618,14.944826,17.296484,8.700001,18.0036,2.619949
